,date,p (mbar),rh (%),T (degC)
50000,2020-12-13 06:50:00,982.05,96.5,3.72
50001,2020-12-13 07:00:00,982.09,97.2,3.65
50002,2020-12-13 07:10:00,982.19,96.8,3.77
50003,2020-12-13 07:20:00,982.24,96.4,3.81
50004,2020-12-13 07:30:00,982.35,97.5,3.7
50005,2020-12-13 07:40:00,982.45,98.0,3.72
50006,2020-12-13 07:50:00,982.52,98.2,3.71
50007,2020-12-13 08:00:00,982.62,98.7,3.61
50008,2020-12-13 08:10:00,982.76,98.5,3.6
50009,2020-12-13 08:20:00,982.94,98.3,3.68
50010,2020-12-13 08:30:00,983.03,98.1,3.7
50011,2020-12-13 08:40:00,983.09,98.3,3.73
50012,2020-12-13 08:50:00,983.18,98.1,3.91
50013,2020-12-13 09:00:00,983.28,97.4,4.01
50014,2020-12-13 09:10:00,983.35,97.9,3.92
50015,2020-12-13 09:20:00,983.48,98.2,3.89
50016,2020-12-13 09:30:00,983.57,98.5,3.88
50017,2020-12-13 09:40:00,983.65,98.1,3.97
50018,2020-12-13 09:50:00,983.74,97.6,4.05
50019,2020-12-13 10:00:00,983.84,97.0,4.2
50020,2020-12-13 10:10:00,983.97,96.6,4.36
50021,2020-12-13 10:20:00,984.12,97.0,4.31
50022,2020-12-13 10:30:00,984.2,97.0,4.49
50023,2020-12-13 10:40:00,984.33,96.1,4.68
50024,2020-12-13 10:50:00,984.4,95.4,4.86
50025,2020-12-13 11:00:00,984.45,94.9,4.86
50026,2020-12-13 11:10:00,984.51,95.1,4.94
50027,2020-12-13 11:20:00,984.53,94.6,5.1
50028,2020-12-13 11:30:00,984.53,93.8,5.34
50029,2020-12-13 11:40:00,984.56,93.3,5.51
50030,2020-12-13 11:50:00,984.53,93.5,5.59
50031,2020-12-13 12:00:00,984.58,92.8,5.76
50032,2020-12-13 12:10:00,984.6,92.4,5.91
50033,2020-12-13 12:20:00,984.63,91.7,6.13
50034,2020-12-13 12:30:00,984.64,90.6,6.32
50035,2020-12-13 12:40:00,984.66,90.7,6.33
50036,2020-12-13 12:50:00,984.68,90.4,6.48
50037,2020-12-13 13:00:00,984.69,90.3,6.53
50038,2020-12-13 13:10:00,984.74,90.1,6.57
50039,2020-12-13 13:20:00,984.79,89.7,6.66
50040,2020-12-13 13:30:00,984.87,89.5,6.72
50041,2020-12-13 13:40:00,984.86,89.3,6.79
50042,2020-12-13 13:50:00,984.87,89.3,6.8
50043,2020-12-13 14:00:00,984.83,89.2,6.91
50044,2020-12-13 14:10:00,984.88,88.7,7.0
50045,2020-12-13 14:20:00,984.89,88.5,6.99
50046,2020-12-13 14:30:00,984.84,88.9,6.95
50047,2020-12-13 14:40:00,984.96,88.9,6.94
50048,2020-12-13 14:50:00,985.08,89.3,6.88
50049,2020-12-13 15:00:00,985.2,89.6,6.83
50050,2020-12-13 15:10:00,985.29,90.0,6.83
50051,2020-12-13 15:20:00,985.45,89.8,6.91
50052,2020-12-13 15:30:00,985.59,89.7,6.94
50053,2020-12-13 15:40:00,985.66,90.6,6.86
50054,2020-12-13 15:50:00,985.65,90.7,6.8
50055,2020-12-13 16:00:00,985.73,91.6,6.66
50056,2020-12-13 16:10:00,985.88,91.3,6.72
50057,2020-12-13 16:20:00,986.03,91.4,6.78
50058,2020-12-13 16:30:00,986.11,91.4,6.8
50059,2020-12-13 16:40:00,986.16,91.9,6.7
50060,2020-12-13 16:50:00,986.26,92.7,6.57
50061,2020-12-13 17:00:00,986.28,92.7,6.55
50062,2020-12-13 17:10:00,986.32,92.6,6.53
50063,2020-12-13 17:20:00,986.42,93.1,6.41
50064,2020-12-13 17:30:00,986.47,93.2,6.45
50065,2020-12-13 17:40:00,986.46,93.5,6.37
50066,2020-12-13 17:50:00,986.58,94.6,6.18
50067,2020-12-13 18:00:00,986.65,95.2,6.0
50068,2020-12-13 18:10:00,986.69,95.7,5.88
50069,2020-12-13 18:20:00,986.75,95.2,5.92
50070,2020-12-13 18:30:00,986.87,95.1,5.85
50071,2020-12-13 18:40:00,986.89,95.6,5.75
50072,2020-12-13 18:50:00,986.93,96.0,5.66
50073,2020-12-13 19:00:00,986.96,97.0,5.41
50074,2020-12-13 19:10:00,986.98,98.0,5.23
50075,2020-12-13 19:20:00,987.07,98.1,5.28
50076,2020-12-13 19:30:00,987.12,97.5,5.22
50077,2020-12-13 19:40:00,987.15,98.4,5.12
50078,2020-12-13 19:50:00,987.25,98.9,4.92
50079,2020-12-13 20:00:00,987.25,99.9,4.77
50080,2020-12-13 20:10:00,987.37,100.0,4.72
50081,2020-12-13 20:20:00,987.38,99.8,4.81
50082,2020-12-13 20:30:00,987.42,99.3,4.83
50083,2020-12-13 20:40:00,987.54,99.4,4.66
50084,2020-12-13 20:50:00,987.64,99.8,4.63
50085,2020-12-13 21:00:00,987.75,99.4,4.66
50086,2020-12-13 21:10:00,987.81,99.0,4.33
50087,2020-12-13 21:20:00,987.84,99.7,4.06
50088,2020-12-13 21:30:00,987.83,100.0,3.93
50089,2020-12-13 21:40:00,987.83,100.0,4.03
50090,2020-12-13 21:50:00,987.83,100.0,4.04
50091,2020-12-13 22:00:00,987.76,100.0,3.94
50092,2020-12-13 22:10:00,987.78,100.0,4.03
50093,2020-12-13 22:20:00,987.81,100.0,3.99
50094,2020-12-13 22:30:00,987.92,100.0,3.95
50095,2020-12-13 22:40:00,987.96,100.0,3.83
50096,2020-12-13 22:50:00,987.98,100.0,3.72
50097,2020-12-13 23:00:00,988.02,100.0,3.63
50098,2020-12-13 23:10:00,988.03,100.0,3.47
50099,2020-12-13 23:20:00,988.08,100.0,3.53
50100,2020-12-13 23:30:00,988.14,100.0,3.65
50101,2020-12-13 23:40:00,988.21,100.0,3.68
50102,2020-12-13 23:50:00,988.19,100.0,3.78
50103,2020-12-14 00:00:00,988.14,100.0,3.81
50104,2020-12-14 00:10:00,988.04,100.0,3.77
50105,2020-12-14 00:20:00,987.93,100.0,3.75
50106,2020-12-14 00:30:00,987.77,100.0,3.71
